Eligible_thousands,State,Code,Significant,Lower_B,Rate,Upper_B,Not_participating_thousands,Not_participating_actual
859,Alabama,AL,,75,80,84,171.8,171800
89,Alaska,AK,*,82,89,96,9.79,9790
910,Arizona,AZ,*,71,76,82,218.4,218400
536,Arkansas,AR,*,59,64,69,192.96,192960
"4,787",California,CA,*,68,70,73,"1,436",1436100
489,Colorado,CO,,78,84,90,78.24,78240
327,Connecticut,CT,*,89,95,100,16.35,16350
104,DC,DC,*,89,97,100,3.12,3120
107,Delaware,DE,*,93,100,100,0,0
"3,109",Florida,FL,,77,81,85,591,590710
"1,685",Georgia,GA,*,73,78,83,371,370700
161,Hawaii,HI,,81,88,95,19.32,19320
167,Idaho,ID,,77,82,87,30.06,30060
"1,575",Illinois,IL,*,94,100,100,0,0
722,Indiana,IN,*,69,73,78,194.94,194940
288,Iowa,IA,*,85,92,98,23.04,23040
276,Kansas,KS,*,65,71,76,80.04,80040
716,Kentucky,KY,*,64,69,74,221.96,221960
940,Louisiana,LA,,80,85,89,141,141000
150,Maine,ME,,75,81,88,28.5,28500
581,Maryland,MD,*,84,91,98,52.29,52290
651,Massachusetts,MA,*,94,100,100,0,0
"1,121",Michigan,MI,*,85,90,95,112,112100
435,Minnesota,MN,,74,80,86,87,87000
675,Mississippi,MS,*,61,65,69,236.25,236250
785,Missouri,MO,,79,85,90,117.75,117750
111,Montana,MT,,78,83,89,18.87,18870
179,Nebraska,NE,,78,83,88,30.43,30430
372,Nevada,NV,*,88,94,100,22.32,22320
81,New Hampshire,NH,,76,82,88,14.58,14580
798,New Jersey,NJ,,75,80,86,159.6,159600
404,New Mexico,NM,*,93,100,100,0,0
"2,588",New York,NY,*,85,89,93,285,284680
"1,502",North Carolina,NC,*,72,76,80,360,360480
56,North Dakota,ND,*,63,70,76,16.8,16800
"1,386",Ohio,OH,*,85,90,95,139,138600
594,Oklahoma,OK,*,84,90,95,59.4,59400
514,Oregon,OR,*,93,100,100,0,0
"1,550",Pennsylvania,PA,*,94,100,100,0,0
124,Rhode Island,RI,*,93,100,100,0,0
761,South Carolina,SC,*,70,74,78,197.86,197860
95,South Dakota,SD,,77,84,90,15.2,15200
"1,001",Tennessee,TN,*,83,88,93,120,120120
"4,061",Texas,TX,*,70,73,76,"1,096",1096470
214,Utah,UT,,73,79,85,44.94,44940
58,Vermont,VT,*,93,100,100,0,0
863,Virginia,VA,*,72,78,83,189.86,189860
670,Washington,WA,*,94,100,100,0,0
280,West Virginia,WV,*,90,96,100,11.2,11200
521,Wisconsin,WI,*,94,100,100,0,0
48,Wyoming,WY,*,48,55,62,21.6,21600
